,userID,userName,password,gender,age,department,address,healthState
0,0,rzjtatug,ibmmue1332,Female,18,Literature,61824,Healthy
1,1,cftqmulr,cmahzs4584,Female,27,STAT,61825,Confirmed
2,2,rdtpjejj,iqcehw5154,Male,18,Accounting,61825,Healthy
3,3,qufpukqo,vkqkca1683,Female,25,Chemical,61803,Suspicious
4,4,siwvfvff,qjnvhg7814,Female,24,Chemical,61802,Confirmed
5,5,umjzzuwp,ljqexf4848,Female,18,ME,61821,Suspicious
6,6,rbsrimxz,urbwov109,Male,27,Algricuture,61801,Suspicious
7,7,oqeemqcx,kagnsp52,Male,24,STAT,61802,Healthy
8,8,yjyjytak,kapyou1653,Female,25,Algricuture,61822,Healthy
9,9,hkpmdggp,xddmdf2600,Female,18,CS,61801,Confirmed
10,10,rjgtlesh,gwttee7258,Male,27,ME,61801,Confirmed
11,11,qegfjngj,axznxj68,Female,22,STAT,61803,Suspicious
12,12,dnxyorcp,chbruo3406,Male,20,STAT,61803,Confirmed
13,13,yiaryclf,qokxzy7923,Female,24,STAT,61824,Confirmed
14,14,cfattacd,kufjat7349,Female,29,Literature,61802,Healthy
15,15,brqazuud,tznjid6455,Male,22,STAT,61821,Confirmed
16,16,mnveqsll,ncbttf7854,Male,23,CS,61803,Confirmed
17,17,kymvfqwx,fqluhk4153,Male,18,STAT,61822,Healthy
18,18,qktwpuhy,teeteh1152,Male,23,Literature,61820,Healthy
19,19,bqbkqndq,hifzyi1787,Female,20,ECE,61824,Suspicious
20,20,pwfzbhht,tewglr9776,Male,28,Bioengineering,61821,Healthy
21,21,pgtjmspk,uwadob4079,Female,25,Algricuture,61822,Confirmed
22,22,ysjdpuxn,fefcav4850,Female,24,ME,61824,Healthy
23,23,yeqbdpfo,datkti6098,Male,29,Accounting,61821,Healthy
24,24,nimjjokl,evcjzn3868,Male,28,ECE,61821,Suspicious
25,25,zkumkzzf,ovmruu1769,Female,24,Algricuture,61821,Suspicious
26,26,mywpinlx,mhzyjk1959,Male,26,Accounting,61802,Confirmed
27,27,aarpcqnf,bxmgdb5754,Male,25,Bioengineering,61801,Suspicious
28,28,amkpwpnc,eetcux730,Male,21,ME,61821,Healthy
29,29,npxykrvh,ckquxd6029,Female,21,Literature,61803,Healthy
30,30,hhmllzid,dbmdud8703,Female,24,ECE,61802,Healthy
31,31,jacosvor,tjapcu2061,Female,26,ECE,61820,Confirmed
32,32,xjowcxzu,cgvedt9649,Female,22,Bioengineering,61825,Confirmed
33,33,ndvnsyoy,penmjc3250,Female,22,Bioengineering,61802,Healthy
34,34,jztkagwj,tbanle5243,Female,19,Chemical,61825,Confirmed
35,35,vflzczwf,fuwvmv5345,Female,23,Chemical,61821,Confirmed
36,36,agouwuhi,azkuip4096,Male,18,STAT,61803,Suspicious
37,37,zresfeqs,rbifyn7920,Male,23,ECE,61803,Healthy
38,38,ibgxiydo,qybnoz218,Female,28,Algricuture,61821,Suspicious
39,39,szefcdgd,agtiat3597,Male,19,ME,61825,Healthy
40,40,mouqyplo,qyhzpb6717,Male,23,Chemical,61803,Healthy
41,41,gjgddyvf,gqtwpe3844,Female,24,Accounting,61820,Confirmed
42,42,qovfnbyk,wscnve665,Female,28,Algricuture,61821,Confirmed
43,43,wmbbqrfs,uzetfj4499,Male,18,Bioengineering,61820,Confirmed
44,44,rekgcslw,hoyvrs3414,Female,20,Algricuture,61801,Confirmed
45,45,jrjaawkv,pudkjd3698,Male,28,Accounting,61821,Suspicious
46,46,xqmvinmv,pxvszl4687,Female,19,Literature,61822,Healthy
47,47,cuifgaqp,mdktpa7018,Male,22,ME,61801,Confirmed
48,48,wnsqgrvm,ulifzb8107,Female,27,Algricuture,61801,Confirmed
49,49,rnhljdap,dasjsl4321,Female,19,Bioengineering,61822,Suspicious
50,50,awhdkguw,tzeamg8373,Female,22,ECE,61821,Healthy
51,51,womlsbkf,eeciyi8688,Female,21,Bioengineering,61803,Healthy
52,52,tfalkpjg,eatigy1002,Male,27,STAT,61822,Healthy
53,53,hjoihyjj,icomqo7181,Male,24,STAT,61822,Confirmed
54,54,pensewwy,vccxlz5264,Male,25,ME,61803,Confirmed
55,55,zkpwseeo,wtmroe3425,Female,18,Literature,61821,Healthy
